version,category,feature_name,funded_by,funded_by_link,developed_by,developed_by_link,md_file
3.14,Processing,Vector tile layer - part 8 (writer in Processing),QGIS Community,https://www.lutraconsulting.co.uk/crowdfunding/vectortile-qgis/,Lutra Consulting (Martin Dobias),https://www.lutraconsulting.co.uk/,index.md
3.14,Processing,New modeler algorithm for creating conditional branches,Andreas Neumann,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Allow reordering model inputs,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Defer model validation,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Added support for different raster data types in Create constant raster layer algorithm,Not specified,,Clemens Raffler,https://api.github.com/users/root676,index.md
3.14,Processing,Added Round raster algorithm,Not specified,,Clemens Raffler,https://api.github.com/users/root676,index.md
3.14,Processing,Allow copying/cut/paste of model components,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Allow appending processing results to existing layers,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Allow creation of group boxes in models,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Processing: show input and output values for children after running model through designer,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,"Add ""Save Log to File"" algorithm for models",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Allow running algorithms directly on database (and other non-disk) sources without loading into projects first,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Expose per-feature-source advanced options for processing inputs,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Enable snapping to grid for models in designer,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,"Add ""filter by geometry type"" and ""filter by layer type"" algorithms to processing",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,"""Remove Null Geometries"" algorithm can also remove EMPTY geometries",SwissTierras Colombia,https://swisstierrascolombia.com/,Germán Carrillo,https://github.com/gacarrillor,index.md
3.14,Processing,"Add multi-selection handling to model designer, interactive resizing",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Add undo/redo support to model designer,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Remember parameter values between model designer runs,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Comments in Processing Models,Fisel + König,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,New standalone console tool for running processing algorithms,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,"New parameter type for datetime (or date, or time) values",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Add algorithms for raising warnings and exceptions from models,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Processing,Add Fill NoData cells algorithm,Not specified,,Clemens Raffler,https://api.github.com/users/root676,index.md
3.14,Processing,Various fixes for Processing,Not specified,,Alexander Bruy,https://api.github.com/users/alexbruy,index.md
3.14,Processing,"Show ""template layer"" field constraints in the ""Refactor Fields"" algorithm interface",SwissTierras Colombia,https://swisstierrascolombia.com/,Germán Carrillo,https://github.com/gacarrillor,index.md
3.14,Processing,New convert to curves algorithm,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Application and Project Options,"Add @layers, @layer_ids project scope variables",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Data Providers,Allow adding attributes in the New Scratch Layer dialog,Not specified,,Alexander Bruy,https://api.github.com/users/alexbruy,index.md
3.14,Data Providers,Allow creating geometryless DBF tables from the New Shapefile dialog,Not specified,,Alexander Bruy,https://api.github.com/users/alexbruy,index.md
3.14,Data Providers,Allow filtering WM(T)S list in source dialog,Not specified,,Denis Rouzaud,https://api.github.com/users/3nids,index.md
3.14,Data Providers,Add vector tiles to Datasource manager dialog and Layers menu,Not specified,,Alexander Bruy,https://api.github.com/users/alexbruy,index.md
3.14,Data Providers,Import/export for ArcGIS Map and FeatureServer connections,Not specified,,Alexander Bruy,https://api.github.com/users/alexbruy,index.md
3.14,Data Providers,Add XYZ tiles to Datasource manager dialog and Layers menu,Not specified,,Alexander Bruy,https://api.github.com/users/alexbruy,index.md
3.14,Data Providers,Spatialite transaction group,ARPA Piemonte,http://www.arpa.piemonte.it/,Alessandro Pasotti,https://www.itopen.it,index.md
3.14,Data Providers,Allowing saving outputs direct to more database formats (and other nice stuff),Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Data Providers,Add dedicated parameter type for database connections,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Data Providers,PG: expose foreign tables,Not specified,,Alessandro Pasotti,https://api.github.com/users/elpaso,index.md
3.14,Data Providers,PG raster expose set filter to app,ARPA Piemonte,http://www.arpa.piemonte.it/,Alessandro Pasotti,https://www.itopen.it,index.md
3.14,Data Providers,Postgres: save features into tables with generated fields,Not specified,,José de Paula Rodrigues N. Assis,https://api.github.com/users/espinafre,index.md
3.14,Data Providers,Date and DateTime field types support added to Spatialite and Delimited Text providers,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.14,QGIS Server,Add QGIS_SERVER_IGNORE_BAD_LAYERS config option,Geoinformatikbüro Dassau GmbH,https://www.gbd-consult.de/home.html,Alessandro Pasotti,https://www.itopen.it,index.md
3.14,QGIS Server,"Server project settings, add 'expanded' attribute",Not specified,,mhugent,https://api.github.com/users/mhugent,index.md
3.14,QGIS Server,Add DXF server export params NO_MTEXT and FORCE_2D,Not specified,,Matthias Kuhn,https://api.github.com/users/m-kuhn,index.md
3.14,QGIS Server,WMS project validator,3Liz,https://www.3liz.com,Etienne Trimaille,https://github.com/Gustry,index.md
3.14,QGIS Server,Webp,OPENGIS.ch,https://www.opengis.ch,Matthias Kuhn (OPENGIS.ch),https://www.opengis.ch,index.md
3.14,Plugins,"Allow plugins to register custom ""Project Open"" handlers",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Plugins,Allow users to install stable or experimental plugins,Swiss QGIS User Group,https://www.qgis.ch/,Olivier Dalang,https://api.github.com/users/olivierdalang,index.md
3.14,Programmability,Support for adding dock widgets as tabs: addTabifyDockWidget(),SwissTierras Colombia,https://swisstierrascolombia.com/,Germán Carrillo,https://github.com/gacarrillor,index.md
3.14,Programmability,Port output parameter wrappers to new API,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Programmability,Port last remaining input parameters to new API,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Programmability,"Port Feature Source, Raster, Vector and Mesh Layer parameters to new API",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Programmability,Vector tile layer - part 1,QGIS Community,https://www.lutraconsulting.co.uk/crowdfunding/vectortile-qgis/,Lutra Consulting (Martin Dobias),https://www.lutraconsulting.co.uk,index.md
3.14,Programmability,"Port processing extent parameter to new api, many other improvements",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Programmability,Interface and API for unified development/debugging tools,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Programmability,Data type support for QgsProcessingParameterMapLayer,Not specified,,Alexander Bruy,https://api.github.com/users/alexbruy,index.md
3.14,Programmability,Add processing parameter types for database schema and table name,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.14,Notable Fixes,Bug fixes by Alessandro Pasotti,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Alessandro Pasotti,https://www.itopen.it/,index.md
3.14,Notable Fixes,Bug fixes by Loïc Bartoletti,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Loïc Bartoletti,https://www.oslandia.com/,index.md
3.14,Notable Fixes,Bug fixes by Even Rouault,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Even Rouault,http://www.spatialys.com/,index.md
3.14,Notable Fixes,Bug fixes by Paul Blottiere,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Paul Blottiere,https://hytech-imaging.fr/,index.md
3.14,Notable Fixes,Bug fixes by Julien Cabieces,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Julien Cabieces,https://www.oslandia.com/,index.md
3.14,Notable Fixes,Bug fixes by Bertrand Rix,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Bertrand Rix,https://www.oslandia.com/,index.md
3.14,Notable Fixes,Bug fixes by Sebastien Peillet,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Sebastien Peillet,https://www.oslandia.com/,index.md
3.14,Notable Fixes,Bug fixes by Alexander Bruy,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Alexander Bruy,,index.md
3.14,Notable Fixes,Bug fixes by Nyall Dawson,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Nyall Dawson,https://north-road.com/,index.md
3.14,Notable Fixes,Bug fixes by Denis Rouzaud,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Denis Rouzaud,https://www.opengis.ch/,index.md
3.16,General,Add user groups easter egg,Not specified,,Germán Carrillo,https://github.com/gacarrillor,index.md
3.16,General,QGIS 3.16 Highlights (changelog),Not specified,,Not specified,,index.md
3.16,Temporal,Ability to export temporal animation frames,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Map Tools,Go-To locator,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.16,User Interface,Add context menu to map canvas,Not specified,,jakimowb,https://api.github.com/users/jakimowb,index.md
3.16,Symbology,Vector tile styling improvements,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Symbology,Allow users to optionally specify the URL for the default style on vector tile connections,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Symbology,Allow data-defined offset for fill symbol layers,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Symbology,Import MapBox GL JSON styles for vector tile layers,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Symbology,Expose option to offset simple line dash patterns by a preset amount,Kanton Solothurn,https://geo.so.ch/,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Symbology,Add options to dynamically tweak dash pattern in simple line symbol layers,Kanton Solothurn,https://geo.so.ch/,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Symbology,Manage 3D symbols through style manager,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Labelling,Add option to allow users to control the placement of labels along line features,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Labelling,Control anchor point for line labels,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Diagrams,Render axis for stacked bar diagram,Not specified,,Dan Minor,https://api.github.com/users/dminor,index.md
3.16,Mesh,In-memory mesh datasets with persistence,Artelia Group,https://www.arteliagroup.com/en,Lutra Consulting (Vincent Cloarec),http://www.lutraconsulting.co.uk,index.md
3.16,Mesh,Multi identify for mesh layer,Artelia Group,https://www.arteliagroup.com/en,Lutra Consulting (Vincent Cloarec),https://www.lutraconsulting.co.uk/,index.md
3.16,Mesh,Virtual dataset groups for mesh layer,Artelia Group,https://www.arteliagroup.com/en,Lutra Consulting (Vincent Cloarec),https://www.lutraconsulting.co.uk/,index.md
3.16,Mesh,Add export to QgsMesh method,Not specified,,Vincent Cloarec,https://api.github.com/users/vcloarec,index.md
3.16,Mesh,TIN Mesh creation,Not specified,,Vincent Cloarec,https://api.github.com/users/vcloarec,index.md
3.16,Rendering,Gamma correction filter for raster layers,Not specified,,Alexander Bruy,https://api.github.com/users/alexbruy,index.md
3.16,3D Features,Allow 3D material texture files to be embedded in style/project,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,3D Features,Shadow rendering,Not specified,,Nedjima Belgacem,https://api.github.com/users/NEDJIMAbelgacem,index.md
3.16,3D Features,Export 3D scenes,Not specified,,Nedjima Belgacem,https://api.github.com/users/NEDJIMAbelgacem,index.md
3.16,3D Features,Directional lighting support for QGIS 3D,Not specified,,Nedjima Belgacem,https://api.github.com/users/NEDJIMAbelgacem,index.md
3.16,3D Features,Texturing support for vector layer,Not specified,,Nedjima Belgacem,https://api.github.com/users/NEDJIMAbelgacem,index.md
3.16,3D Features,Enable embedded and remote 3D models for 3D point symbols,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.16,3D Features,Add option to show light source origins,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,3D Features,Improvements for material handling,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Print Layouts,Expose control over text format and alignment for individual cells in manual text tables,City of Canning,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Print Layouts,Use QgsTextRenderer to render attribute table text,City of Canning,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Print Layouts,Use QgsTextRenderer for drawing map grid text in layouts,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Print Layouts,Expose option to control PDF image compression method when exporting layouts to PDF,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Print Layouts,Add automatic clipping settings for atlas maps,City of Canning,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Print Layouts,Add API to QgsMapSettings for specifying clipping regions to apply while rendering maps,City of Canning,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Print Layouts,Layout legend maximum marker size,Not specified,,mhugent,https://api.github.com/users/mhugent,index.md
3.16,Print Layouts,Allow cells in manual text tables to have expression based contents,City of Canning,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Print Layouts,Clip layout maps to shape,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Print Layouts,Support for rotated ticks/annotation,Kanton Solothurn,https://geo.so.ch/,"Olivier Dalang, OPENGIS.ch",https://www.opengis.ch,index.md
3.16,Print Layouts,Add page offset expression for Y positions,BikePlan,https://www.bikeplan.swiss/,"Olivier Dalang, OPENGIS.ch",https://www.opengis.ch,index.md
3.16,Expressions,Add to_decimal() function to convert DMS to DD,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.16,Expressions,"Add ""main_angle"" function to return the estimated main angle of a geometry",Kanton Solothurn,https://geo.so.ch/,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Expressions,Port refFunctions to core,Not specified,,"Olivier Dalang, OPENGIS.ch",https://www.opengis.ch,index.md
3.16,Digitising,Add option to calculate bearing based on travel direction,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Digitising,Digitizing and splitting curved features,Geomni UK,https://www.geomni.co.uk/,Lutra Consulting (Vincent Cloarec),http://www.lutraconsulting.co.uk,index.md
3.16,Data Management,Rescale raster algorithm for Processing,Not specified,,Alexander Bruy,https://api.github.com/users/alexbruy,index.md
3.16,Forms and Widgets,Multiple widgets for a single relation,Not specified,,signedav,https://api.github.com/users/signedav,index.md
3.16,Forms and Widgets,Show related features in identify results tree,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Forms and Widgets,Filter expressions in relation reference widget,Not specified,,Ivan Ivanov,https://api.github.com/users/suricactus,index.md
3.16,Analysis Tools,Add project load profile times to debugging tools dock,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Analysis Tools,New Cell statistics algorithm,Not specified,,Clemens Raffler,https://api.github.com/users/root676,index.md
3.16,Analysis Tools,New Equal to frequency algorithm,Not specified,,Clemens Raffler,https://api.github.com/users/root676,index.md
3.16,Analysis Tools,New Greater than frequency algorithm,Not specified,,Clemens Raffler,https://github.com/root676,index.md
3.16,Analysis Tools,New Less than frequency algorithm,Not specified,,Clemens Raffler,https://github.com/root676,index.md
3.16,Analysis Tools,New Lowest position in raster stack algorithm,Not specified,,Clemens Raffler,https://github.com/root676,index.md
3.16,Analysis Tools,New Highest position in raster stack algorithm,Not specified,,Clemens Raffler,https://github.com/root676,index.md
3.16,Analysis Tools,"New ""Highest/Lowest position in raster stack"" algorithms",Not specified,,Clemens Raffler,https://api.github.com/users/root676,index.md
3.16,Processing,Add help string for parameters,Not specified,,Étienne Trimaille,https://api.github.com/users/Gustry,index.md
3.16,Processing,"New ""Align points to features"" algorithm",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Processing,Add modeler algorithm to create directories,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Processing,Add modeler algorithm to set a project expression variable,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Processing,Add processing algorithms to export a print layout as PDF/image,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Processing,Add a save features to file algorithm,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.16,Processing,Export layout atlas as PDF algorithm,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.16,Processing,"New ""Flatten Relationship"" algorithm",SMEC/SJ,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Processing,Export atlas layout as image algorithm,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.16,Processing,Load processing results to layer group,Not specified,,Germán Carrillo,https://github.com/gacarrillor,index.md
3.16,Processing,Add zonal statistics algorithm which creates new output,Not specified,,Matthias Kuhn,https://api.github.com/users/m-kuhn,index.md
3.16,Processing,Add geometry processing parameter,Not specified,,David Marteau,https://api.github.com/users/dmarteau,index.md
3.16,Processing,Add an interface to determine whether it is safe for the application to exit,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Application and Project Options,List available GDAL vector drivers,Not specified,,Alexander Bruy,https://api.github.com/users/alexbruy,index.md
3.16,Application and Project Options,Detect GRASS installation folder on MacOS,Not specified,,Lutra Consulting (Peter Petrik),https://api.github.com/users/PeterPetrik,index.md
3.16,Browser,Expose fields in the Browser,Not specified,,Alessandro Pasotti,https://api.github.com/users/elpaso,index.md
3.16,Data Providers,ArcGIS Vector Tile Service connections,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.16,Data Providers,Trust layer metadata propagation,Not specified,,rldhont,https://api.github.com/users/rldhont,index.md
3.16,Data Providers,Add support for virtual columns in Oracle,Not specified,,Julien Cabieces,https://api.github.com/users/troopa81,index.md
3.16,Data Providers,Add advanced options for data imports,Not specified,,Even Rouault,https://api.github.com/users/rouault,index.md
3.16,QGIS Server,QGIS Server WFS3 API Sorting,Not specified,,Alessandro Pasotti,https://api.github.com/users/elpaso,index.md
3.16,QGIS Server,QGIS Server landing page,Not specified,,Alessandro Pasotti,https://api.github.com/users/elpaso,index.md
3.16,QGIS Server,Environment variable to disable GetPrint and to not load layouts,Ifremer,https://wwz.ifremer.fr,3Liz,https://www.3liz.com,index.md
3.16,QGIS Server,Environment variable to trust layer metadata with server settings,Ifremer,https://wwz.ifremer.fr,3Liz,https://www.3liz.com,index.md
3.16,Notable Fixes,Bug fixes by Even Rouault,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Even Rouault,http://www.spatialys.com/,index.md
3.16,Notable Fixes,Bug fixes by Alessandro Pasotti,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Alessandro Pasotti,https://www.itopen.it/,index.md
3.16,Notable Fixes,Bug fixes by Peter Petrik,Not specified,,Not specified,,index.md
3.16,Notable Fixes,Bug fixes by Paul Blottiere,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Paul Blottiere,https://hytech-imaging.fr/,index.md
3.16,Notable Fixes,Bug fixes by Matthias Kuhn,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Matthias Kuhn,https://www.opengis.ch/,index.md
3.16,Notable Fixes,Bug fixes by Julien Cabieces,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Julien Cabieces,https://www.oslandia.com/,index.md
3.16,Notable Fixes,Bug fixes by Denis Rouzaud,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Denis Rouzaud,https://www.opengis.ch/,index.md
3.16,Notable Fixes,Bug fixes by Olivier Dalang,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Olivier Dalang,https://www.opengis.ch/,index.md
3.16,Notable Fixes,Bug fixes by Nyall Dawson,QGIS.ORG (through donations and sustaining memberships),https://www.qgis.org/,Nyall Dawson,https://north-road.com/,index.md
3.18,General,QGIS 3.18 highlights (changelog),Not specified,,Not specified,,index.md
3.18,User Interface,Hide derived attributes from the Identify results,Not specified,,Richard Duivenvoorde,https://api.github.com/users/rduivenvoorde,index.md
3.18,User Interface,Close all tabs at once from message logs interface,Not specified,,Olivier Dalang,https://api.github.com/users/olivierdalang,index.md
3.18,User Interface,API for layer source widgets,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,User Interface,GUI for dynamic SVGs,Not specified,,Denis Rouzaud,https://api.github.com/users/3nids,index.md
3.18,User Interface,Zoom and pan to selection for multiple layers,Not specified,,Patrice Pineault,https://api.github.com/users/TurboGraphxBeige,index.md
3.18,User Interface,Zoom in/out by scrolling mouse wheel over map overview panel,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.18,Accessibility,Improved color vision deficiency simulation,Not specified,,Will Cohen,https://api.github.com/users/willcohen,index.md
3.18,Accessibility,Rotation widget for the Georeferencer,Not specified,,uclaros,https://api.github.com/users/uclaros,index.md
3.18,Symbology,Data defined overall symbol opacity,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Symbology,Open the style gallery from the style manager,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Mesh,New mesh export algorithms,Lutra Consulting,https://www.lutraconsulting.co.uk,Lutra Consulting (Vincent Cloarec),https://www.lutraconsulting.co.uk/projects/mdal/,index.md
3.18,Mesh,Native export for mesh layers,Lutra Consulting,https://www.lutraconsulting.co.uk,Lutra Consulting (Vincent Cloarec),https://www.lutraconsulting.co.uk/projects/mdal/,index.md
3.18,Mesh,Mesh simplification for 3D,Not specified,,Vincent Cloarec,https://api.github.com/users/vcloarec,index.md
3.18,Mesh,Multiple native mesh processing algorithms,Lutra Consulting,https://www.lutraconsulting.co.uk,Lutra Consulting (Vincent Cloarec),https://www.lutraconsulting.co.uk/projects/mdal/,index.md
3.18,Rendering,"""Merged feature"" renderer for polygon and line layers",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Rendering,Smarter Map Redraws,the QGIS Grant program for 2020. The following display outlines the redraw behavior before enhancement:,,Lutra Consulting (Peter Petrik),https://www.lutraconsulting.co.uk/,index.md
3.18,3D Features,Eye dome lighting,Lutra Consulting,https://www.lutraconsulting.co.uk,Lutra Consulting (Nedjima Belgacem),http://www.lutraconsulting.co.uk,index.md
3.18,3D Features,Data defined 3D material colors,Kristianstad,http://www.kristianstad.se,Lutra Consulting (Vincent Cloarec),http://www.lutraconsulting.co.uk,index.md
3.18,3D Features,3D Orthographic projection support,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.18,Point Clouds,Point Cloud Support,Point Cloud data support in QGIS,https://www.lutraconsulting.co.uk/blog/2021/02/18/qgis-3-18-point-cloud/,Lutra Consulting (Peter Petrik),http://www.lutraconsulting.co.uk,index.md
3.18,Point Clouds,Add point clouds to browser,Point Cloud data support in QGIS crowd funding campaign,https://www.lutraconsulting.co.uk/blog/2021/02/18/qgis-3-18-point-cloud/,Lutra Consulting (Peter Petrik),https://www.lutraconsulting.co.uk/,index.md
3.18,Point Clouds,Untwine PDAL Provider Integration,Point Cloud data support in QGIS crowd funding campaign,https://www.lutraconsulting.co.uk,Lutra Consulting (Peter Petrik),http://www.lutraconsulting.co.uk,index.md
3.18,Print Layouts,Gradient ramp based legends,Hans van der Kwast,https://www.youtube.com/c/HansvanderKwast,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Print Layouts,Color ramp legend improvements,Hans van der Kwast,https://www.youtube.com/c/HansvanderKwast,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Print Layouts,Dynamic text presets,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Expressions,Optional formatting of UUID results,Not specified,,signedav,https://api.github.com/users/signedav,index.md
3.18,Expressions,Layer CRS variable for expressions,Not specified,,Alex,https://api.github.com/users/roya0045,index.md
3.18,Expressions,"Support for min, max, majority, sum, mean, and median functions on numerical arrays",Not specified,,uclaros,https://api.github.com/users/uclaros,index.md
3.18,Expressions,Negative index for array_get function,Not specified,,Alex,https://api.github.com/users/roya0045,index.md
3.18,Expressions,Add map_credits function,SLYR,https://north-road.com/slyr/,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Digitising,Select features context menu,Kristianstad,http://www.kristianstad.se,Lutra Consulting (Vincent Cloarec),http://www.lutraconsulting.co.uk,index.md
3.18,Digitising,Curve tracing settings added to UI,Not specified,,Olivier Dalang,https://api.github.com/users/olivierdalang,index.md
3.18,Digitising,Feature scaling tool,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Data Management,New export to spreadsheet algorithm,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Data Management,Reproject coordinates in the Georeferencer,Not specified,,Alex,https://api.github.com/users/roya0045,index.md
3.18,Data Management,Polymorphic relations/ Document management system,Not specified,,Ivan Ivanov,https://api.github.com/users/suricactus,index.md
3.18,Forms and Widgets,Soft and hard constraints in forms,Lutra Consulting,https://www.lutraconsulting.co.uk,Lutra Consulting (Viktor Sklencar),http://www.lutraconsulting.co.uk,index.md
3.18,Analysis Tools,Nominatim geocoder API,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.18,Processing,Allow expression for order fields in PointsToPath algorithm,Not specified,,Matthias Kuhn,https://api.github.com/users/m-kuhn,index.md
3.18,Processing,Override CRS for Clip Raster by extent output,Not specified,,rldhont,https://api.github.com/users/rldhont,index.md
3.18,Processing,"Add ""retain fields"" algorithm",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Processing,Reference common field parameter for multiple layers,Not specified,,Julien Cabieces,https://api.github.com/users/troopa81,index.md
3.18,Processing,Extend import geotagged photos to include exif_orientation,Not specified,,Pelle Rosenbeck Gøeg,https://api.github.com/users/pellegoeg,index.md
3.18,Processing,Export layer information algorithm,Not specified,,Mathieu Pellerin,https://api.github.com/users/nirvn,index.md
3.18,Processing,Cell stack percentile and percentrank algorithms,Not specified,,Clemens Raffler,https://api.github.com/users/root676,index.md
3.18,Processing,Points to lines processing algorithm,Not specified,,uclaros,https://api.github.com/users/uclaros,index.md
3.18,Application and Project Options,Hidden layers,**ARPA Piemonte**,,Alessandro Pasotti,https://api.github.com/users/elpaso,index.md
3.18,Application and Project Options,"Custom ""Full Extent"" definition",Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Application and Project Options,Toggle network caching to QgsNetworkAccessManager,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
3.18,Browser,Unify ArcGis Feature Service and ArcGIS Map Service connections in browser,Not specified,,Nyall Dawson,https://api.github.com/users/nyalldawson,index.md
